ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
v_subj(1.2).8             0.580937    0.147228     0.316504    0.480549     0.57194      0.6731   0.901389   0.00425392
v_subj(1.0).9              1.95117    0.147643      1.67058     1.85356     1.94671     2.04522    2.25567   0.00460666
v_subj(1.1).9              1.19399   0.0866498       1.0301     1.13643     1.19181     1.24876    1.36942   0.00251723
v_subj(1.2).9              1.36044   0.0883534      1.19241     1.29949     1.35877     1.42139    1.53796    0.0028056
v_subj(1.0).10            0.225627    0.232447   -0.0362736    0.115744    0.187582    0.266961   0.816782   0.00959273
v_subj(1.1).10           0.0366314    0.423679    -0.582597  -0.0561051    0.038613   0.0899146   0.778011    0.0167751
v_subj(1.2).10            0.174516    0.276504    -0.154199   0.0234702   0.0830762     0.26172   0.923831    0.0122187
v_subj(1.0).11             2.53583    0.153418      2.23921     2.43259     2.53348     2.64087     2.8366   0.00513199
v_subj(1.1).11             2.29668    0.137465      2.02728     2.20929     2.29362     2.38572    2.57117   0.00489042
v_subj(1.2).11             3.09858    0.182579       2.7455     2.97514     3.09061     3.22587    3.45094    0.0052013
v_subj(1.0).12            0.477997   0.0712625     0.337627    0.430087    0.477527    0.528165   0.617017   0.00161532
v_subj(1.1).12           -0.287158    0.387033     -1.08203    -0.44093   -0.230658   -0.114514   0.204701    0.0150274
v_subj(1.2).12           0.0679649    0.437401    -0.618017   -0.138892  -0.0358925    0.117308    1.30786    0.0162996
v_subj(1.0).13             0.85241   0.0731021     0.716512    0.801411    0.848301    0.898778    1.00295   0.00217699
v_subj(1.1).13             2.09621    0.380048      1.57078     1.80623     2.00571     2.32484    3.03879    0.0312666
v_subj(1.2).13             1.62459    0.112543      1.40802     1.54763     1.62093      1.7027    1.84633   0.00433774
v_subj(1.0).14             1.81494    0.157699      1.51976     1.70421     1.80763      1.9189    2.14459   0.00462673
v_subj(1.1).14             1.83788    0.131449      1.58126     1.74785     1.83781     1.92422    2.10263   0.00582489
v_subj(1.2).14             1.13573   0.0901287     0.969488     1.07035      1.1354     1.19692    1.31458    0.0027887
